name,web,lat,long,country
Valar Morghulis,https://www.facebook.com/ValarMorghulisJuggerTeam,-8.7150764,42.2349997,Spain
Bearserkers,https://www.facebook.com/BearserkersJugger/,-3.6984449,40.3971576,Spain
Qwick Survivors Jugger Team,https://www.facebook.com/QwickSurvivors,0.6319714,41.6185545,Spain
Jugger Zaragoza,https://www.facebook.com/groups/322441734492777/,-0.8995056,41.6564972,Spain
Coruñesa Association of Jugger,https://www.facebook.com/JuggerCoruna,-8.4053993,43.3680584,Spain
Plan B - Zaragoza,https://www.facebook.com/pages/Plan-B-Zaragoza/228265587228056,-0.9082603,41.6295579,Spain
Juggermeister,https://www.facebook.com/Juggermeister/,-3.6979292,40.3924515,Spain
Tercios Espanoles,http://terciosmurcia.wix.com/tercios#!__my-website,-1.1559248,37.9951142,Spain
Jugger Mallorca,https://www.facebook.com/groups/104961192916500/,2.6566315,39.5765857,Spain
Killer Kitties Klan,https://www.facebook.com/profile.php?id=100007265349986,-0.8722115,41.6430289,Spain
Juggerstorm,https://www.facebook.com/juggerstorm,-3.6996463,40.4019937,Spain
Celtic Avengers,https://www.facebook.com/CelticAvengers,-8.7288093,42.2322035,Spain
Valencia Juggernauts,https://www.facebook.com/pages/Valencia-Juggernauts/205756489461823,-0.3690719,39.4613786,Spain
Frankespavos de Kiev,https://www.facebook.com/frankespavos.dekiev,-0.379715,39.4568724,Spain
Santa Compaña,https://www.facebook.com/SantaCompanaSCM/,-8.408575,43.3491497,Spain
Corvos,https://www.facebook.com/Corvosjugger,-8.4336376,43.3501483,Spain
Fenriss Jugger Cartagena,https://www.facebook.com/fenrissjugger.cartagena.5,-1.0000992,37.6193984,Spain
Centinelas Jedi,https://www.facebook.com/CentinelasJedi,0.6104278,41.6166616,Spain
Els Gegants,No Page Yet,0.6231308,41.6251952,Spain
Ciponejos Revolution,No Page yet,-1.1379433,37.9854073,Spain
Team Hunter,https://www.facebook.com/TeamHunter.Jugger/,-0.4926682,38.3437767,Spain
Midnight Fighters,https://www.facebook.com/midnightfighters/,-0.5594422,38.1961923,Spain
Gina Donuts,No Page Yet,-0.3948212,39.4616436,Spain
Smuggers,http://juggermadrid.forosphpbb.es/f4-spuggers,-3.7017059,40.4110127,Spain
Eternal Fire Shinigami,https://www.facebook.com/EternalFireShinigami,0.6203842,41.6118488,Spain
Kira's Army,http://kirasarmy.blogspot.com.es/,-0.9207916,41.6505972,Spain
Overlords,https://twitter.com/OverlordsJugger,-0.3800583,39.4791356,Spain
A.C. Forjadores,Contact : https://www.facebook.com/jon.heras.3,-2.9348731,43.262675,Spain
Mighty Owl's Santander,https://www.facebook.com/MightyOwlsSantander/,-3.8398933,43.461143,Spain
Tribu Mahud,No Page Yet,-0.9942627,37.6187866,Spain
Asociación Jugger Compostela,https://www.facebook.com/groups/699155653512558/,-8.5460222,42.8872456,Spain
Skull Impalers,https://www.facebook.com/pages/Skull-Impalers/357821064242166,-8.4076309,43.3401613,Spain
Ravens,https://www.facebook.com/pages/Ravens/719866744710202,-0.367012,39.4804605,Spain
Kings of Beer,https://www.facebook.com/pages/Kings-of-Beer-Jugger-Zaragoza/154065118039487,-0.8950424,41.6416178,Spain
TotemA,https://www.facebook.com/pages/TotemA/580745792054949,-2.443943,42.4604469,Spain
Ghost Division,https://www.facebook.com/GhostDivisionJugger,-8.5489082,42.8728191,Spain
Huestes de Odin,https://www.facebook.com/HuestesOdin,-5.6660271,40.9713443,Spain
Jugger Pontevedra,https://www.facebook.com/clubjuggerpontevedra,-8.6430216,42.427448,Spain
Shadow Walkers Jugger Team,https://www.facebook.com/pages/Shadow-Walkers-Jugger-Team/1592365040983928,0.6227875,41.6220514,Spain
Asociación de Jugger y Softcombat de Vigo - AJSV,https://www.facebook.com/AsociacionJuggerSoftcombatVigo/,-8.7228012,42.2398291,Spain
Jugger Asturias,https://www.facebook.com/JuggerAsturias,-5.8479881,43.3621305,Spain
Asociación Sevillana de Jugger,https://www.facebook.com/JuggerSevilla/,-5.9844589,37.385708,Spain
Titanes Jugger Club,https://www.facebook.com/titanesjc/,-0.1223946,38.5405126,Spain
Cova Céltica,https://www.facebook.com/Cova-C%C3%A9ltica-Jugger-Club-1499841706980824/,-8.7190247,42.2343642,Spain
Rampage,https://www.facebook.com/rampagejuggercantabria/,-3.8162041,43.4615791,Spain
Jugger Lleida,https://www.facebook.com/JuggerLleida/,0.620985,41.6169824,Spain
Jugger Club Suricatos,https://www.facebook.com/Juggerclubsuricatos/,2.1689415,41.3853095,Spain
Jugger Barecelona,https://www.facebook.com/groups/1441353899498791,2.1735764,41.3844724,Spain
Warthogs (dead),No Contact Info,2.1708298,41.3835708,Spain
Blue Monkeys,No Contact Info,2.1713448,41.3864043,Spain
Surferos del Ebro,www.facebook.com/SurferosdelEbro/,-0.8811378,41.6503405,Spain
Fianna,https://www.facebook.com/FiannaJugger,-0.9970093,37.6252449,Spain
LINCES,https://www.facebook.com/C%C3%B3rdoba-Kombat-Sociedad-Cordobesa-de-Jugger-y-SoftCombat-939426029429656/,-4.7797394,37.8873185,Spain
Cordoba Kombat,https://www.facebook.com/C%C3%B3rdoba-Kombat-Sociedad-Cordobesa-de-Jugger-y-SoftCombat-939426029429656/,-4.7786236,37.8873185,Spain
South Killers,https://www.facebook.com/southkillers/?fref=ts,-4.6375179,37.5870305,Spain
Feedbacks,https://www.facebook.com/Feedbacks-Jugger-Team-379575332222530/,-0.3896713,39.4603183,Spain
Vegan Raptors,tahgeorgos@gmail.com,-1.1000065,38.8664439,Spain
Gasteizko Gorgonak,https://www.facebook.com/GasteizkoGorgonak/?ref=aymt_homepage_panel,-2.6817799,42.8587902,Spain
Crusader,https://www.facebook.com/C%C3%B3rdoba-Kombat-Sociedad-Cordobesa-de-Jugger-y-SoftCombat-939426029429656/,-4.77938349999999,37.8881751,Spain
Ragnarök - Jugger Team,https://www.facebook.com/RagnarokJugger/,-8.4177589,43.3630042,Spain
Bestas,blodtorstjugger@gmail.com,-8.77912760000004,42.2653368,Spain
Asociación Cartagenera de Jugger,https://www.facebook.com/pages/Asociaci%C3%B3n-Cartagenera-de-Jugger/1484748538452494,-0.994606,37.6227976,Spain
Jugger Pamplona,https://www.facebook.com/JuggerPamplona/,-1.64577450000002,42.812526,Spain
Jugger Cantabria,https://www.facebook.com/jugger.cantabria/,-3.8459015,43.4554111,Spain
BetanFénix,wowelixterix@gmail.com,-8.2130098,43.2783301,Spain
Wyverns,,-3.73514,40.3098867,Spain
Vigo Ruins Jugger Club,https://www.facebook.com/VigoRuinsJC/?fref=ts,-8.50027769999997,42.0833836,Spain
Valkyr Team,,-0.796459700000014,38.4765073,Spain
Urcos,,-8.2131234,43.2784298,Spain
Slowners,,-8.70208239999999,42.3914848,Spain
Sköll,,-5.6635397,40.9701039,Spain
Silvanos,,-3.80998030000001,43.4623057,Spain
Resistance,,-3.7289602,40.3091667,Spain
Pandora,,-8.73245859999997,42.2139758,Spain
Pandapaches,,-5.9212321,43.5572681,Spain
Overkill,https://twitter.com/overkill_jugger,-6.792995,43.3970252,Spain
Ornitorrincos de la Llama,https://www.facebook.com/OrnitorrincosDeLaLlama/,-5.9975051,37.4169113,Spain
Onuba Krakens,https://twitter.com/juggerhuelva,-6.9230162,37.2694523,Spain
Northwalls,,-5.6604329,43.529588,Spain
Nikram,,-0.642843693494797,38.4365208931874,Spain
Ni Knights,,-2.9379035,43.2618876,Spain
Navarrorcos,,-1.6509243,42.8118964,Spain
Myrtia Wolves,,-1.1330577,37.9812135,Spain
Myotragus,,2.65016030000004,39.5696005,Spain
Mitos,https://www.facebook.com/MitosJuggerTeam/,-2.9352427,43.2640751,Spain
Meritanos,,-0.0651894000000084,39.9818188,Spain
Mar de Cenizas,,-0.8753524,41.6531835,Spain
Little Jokers,,-5.66111950000004,43.5322015,Spain
Legends of Today,,-4.72453210000003,41.652251,Spain
Juggernianos,,-13.8628367,28.500821,Spain
JuggerHeister,,-3.700872,40.4067115,Spain
Jugger Oviedo Association,Alejandro (+34 673 15 11 65),-5.87331640000002,43.3626782,Spain
Jugger Ourense,https://www.facebook.com/groups/530162887043910/,-7.86062620000007,42.3432323,Spain
Jugger Málaga,https://www.instagram.com/juggermalaga/,-4.46756249999999,36.7109375,Spain
Jugger Madrid Sur,https://es-es.facebook.com/JuggerMads/,-3.71043750000001,40.3146875,Spain
Jugger La Cuenca,Adrián (+34 684 61 76 16),-5.59844444444445,43.2746111111111,Spain
Jugger Jaén,https://www.facebook.com/juggerjaen/,-3.79068749999999,37.7858125,Spain
Jugger Huelva,https://twitter.com/juggerhuelva,-6.92361700000004,37.269828,Spain
Jugger Granada,https://www.facebook.com/dobe.ruizpadilla,-3.60843750000004,37.1628125,Spain
Jugger Gijón,Nico (+34 667 79 97 43),-5.66956249999998,43.5404375,Spain
Jugger Corvera,Miguel (+34 644 88 96 25),-5.8929842,43.5368858,Spain
Jugger Castrillón,https://twitter.com/overkill_jugger,-5.97581249999996,43.5641875,Spain
Jugger Avilés,http://pandapaches.blogspot.com.es/,-5.922777,43.5528206,Spain
Jugger Albacete,https://www.facebook.com/pjuggerab/,-1.86681250000004,38.9651875,Spain
Jugger A Guarda,https://www.instagram.com/juggeraguarda/,-8.84514650000006,41.9013051,Spain
IX Legión,,-5.8491527,43.3615089,Spain
Iscariot,,-3.69021659999999,41.6692282,Spain
Homelands Jugger Club Deportivo,,-0.713562499999966,38.2643125,Spain
Hipnosapos,,-1.133916,37.9881813,Spain
Hidras,,-1.1322427,37.9866468,Spain
Helvetios,,-0.9966697,37.6270083,Spain
Hellfish,,-3.8103236,43.464268,Spain
Hell Gods,,-1.85854240000003,38.994349,Spain
ACD Jugger Majorero,https://www.facebook.com/juggermajorero.puertodelrosario,-13.8621875,28.4993125,Spain
ADC Bizkaina de Jugger JB,https://www.facebook.com/JuggerBizkaia,-2.91868750000003,43.2625625,Spain
AJ Jugger León,https://www.facebook.com/Jugger-Leon-234311970431657/,-5.56456249999997,42.6041875,Spain
Alhama Jugger Club,https://www.facebook.com/Alhama-Jugger-Club-843149439179728/,-1.43318750000003,37.8413125,Spain
Asociación Berciana de Jugger 5Stones,https://www.facebook.com/abj5Stones/,-6.60706249999998,42.5593125,Spain
Asociación de Jugger del Medio Vinalopó,https://www.facebook.com/asociacionjuggerMV/,-0.79068749999999,38.4660625,Spain
Asociación Genshiken Ginko,https://www.facebook.com/genshikenginko/,-3.68566666666663,41.6834722222222,Spain
Asociación Juvenil Guardia Helmántica,https://www.facebook.com/aj.helmantica,-5.67455555555557,40.9730555555556,Spain
Asociación Xuvenil Jugger Betanzos,Manulo (+34 660 69 84 07),-8.21781250000004,43.2794375,Spain
Jugger Ireland,<img src="https://doc-0s-b0-mymaps.googleusercontent.com/untrusted/hostedimage/glq0ertkjq4pfspe462v75g0i8/17leugatiekgfklaimhp87j598/1573214400000/9FnDH1sQNa5OyRurRtSi3XhS4vWlfz6Y/07371843970532912375/1AF2TALo27QLZFsr9OKCq1oHKcifw4xpdAPKZ9g-e4hv1qMx63BtK9z8tqbEuAciprX035m_kfSl-co89xgXIRKkTGBFGmACHpjMiWhDzhjQgB7R5h6z72kO3XJdWV9ZT6j1Hf4xH9nf1fN_deOmpJmLaW8D6YUxYW3Yt_6X6t-BeEjVcyOzN-0fyC92zPWhe0PhSAg821r13DNgg5Wcr9k622j9QQoCyIignHINhRyy2ZPWNF0Zlmh2ppxo4YpzQqDD_I3BO3nmMPXK5JuCCA3JsNMMHYN3PNg?session=1&fife" height="200" width="auto" /><br><br>http://www.juggerireland.com,-6.233325,53.3622182,Ireland__UK
Setanta Jugger Club,<img src="https://doc-0o-b0-mymaps.googleusercontent.com/untrusted/hostedimage/glq0ertkjq4pfspe462v75g0i8/d35r8t6am9hfmqkkcdajin4o7s/1573214400000/9FnDH1sQNa5OyRurRtSi3XhS4vWlfz6Y/07371843970532912375/1AF2TALqOGF12MOKj2SldxE4kUfjY71cCmzLTORfGQOwfOw3cPSOlXl_-_q2rlWox-MpF0ov6jJELFRxJ_iz5dA3UrnVLO0QuPWAdHKcKp60wrQP42_BRISIeJ77nCYKEkekark_rLID7r6iuNOC8Xisi4HcfzQHS0fzeIMtkzg-Z5kKuc83e1vCylxxgDy3MLezWCbOt4Se0zH1d_dPoktzxGw6tQOjxjRVILULw7NuCsZt-0BtpXD1jp40hCtU6ez8cQ3wUYL7i5YmUtooqZMyFtaCqtIPK9g?session=1&fife" height="200" width="auto" /><br><br>https://www.facebook.com/setantajuggerclub/,-6.2358141,53.3600285,Ireland__UK
Rampage Jugger,<img src="https://doc-14-b0-mymaps.googleusercontent.com/untrusted/hostedimage/glq0ertkjq4pfspe462v75g0i8/51t779a8du33v2l1qsinpvs1qg/1573214400000/9FnDH1sQNa5OyRurRtSi3XhS4vWlfz6Y/07371843970532912375/1AF2TALrKxEfQSSkG60rAVOtaL3xZ08q7irb-iItaMbXY9gb5MYQUspcpjLBsRe7jcvYP0CdRzzj20CqqZHAHWZbXB3nhuEJ9eGFq-mAAo7PmdoqsVj6vxaiKuTEWdOXEEPfAY2X-JG5yhCr-lzFCXMO0vfssQAztm1R2Q-_4tTc0RWDIWu0c1QTJk_BTH1RoT1k72144Q1gMUQ6b8ZMn8CjCZFqOwBlNM83Zk2zERqkR0EfEadIZPLI8V4Y2vE1aAEhLy8kddvGzwWbJoSQkD8odUo435vfdFw?session=1&fife" height="200" width="auto" /><br><br>https://www.facebook.com/rampagejugger/,-6.2140989,53.3358646,Ireland__UK
Savage Jugger,https://www.facebook.com/SavageJugger/,-0.1492609,51.4584523,Ireland__UK
Jugger Winchester,https://www.facebook.com/groups/WinchesterJugger/,-1.3157844,51.0612494,Ireland__UK
Legion Jugger Club,<img src="https://doc-0c-b0-mymaps.googleusercontent.com/untrusted/hostedimage/glq0ertkjq4pfspe462v75g0i8/jn34lvvnt5n5b3mbop0lhegglg/1573214400000/9FnDH1sQNa5OyRurRtSi3XhS4vWlfz6Y/07371843970532912375/1AF2TALqQo9TMEcv6lTl4kNWrdw8XETZjfyKgHGW4iJJm_OYPRziExFtgU1m0rnPzRHNVFQU_g96C8t4BVBvxvXYCUkGw3nBxgoKhCvZD3ZxQg5i1ehcqCU19aQHjL80ekYmowoxE4uXhQUEaevxIGnJVoZG23fb1rs-8746MAsY-hq73GKykYVOBQJEe0Fa6vhdkbc_qwdzmtTrA-fEctEQZC3t4SQT_ZMbQxdpLXqVm0GkMcogeQrR07xeTaNhNMmO1n1Yt1nmsGd9AkTKlSWzEU2zrJoeE3w?session=1&fife" height="200" width="auto" /><br><br>https://www.facebook.com/legionjuggerclub/,-6.3026762,53.3491744,Ireland__UK
Jugger Chihuahua,https://www.facebook.com/JuggerChihuahua/,-106.0709381,28.6309388,Central__South_America
Juggers Del Puerto Mexico,https://www.facebook.com/pages/Juggers-Del-Puerto-Mexico/425762720852605,-96.1348342,19.1706264,Central__South_America
Jugger en Oaxaca,https://www.facebook.com/juggeroaxaca/,-96.7239761,17.0590821,Central__South_America
Jugger Ciudad Juarez,https://www.facebook.com/JuggerCiudadJuarez,-106.4245605,31.7077239,Central__South_America
Jugger Liga Costa Rica,https://www.facebook.com/COMUNIDADJUGGER,-84.0891838,9.9279333,Central__South_America
Nox Societatem,https://www.facebook.com/Jugger-Nox-Societatem-498107547044700/?fref=ts,-84.1462183,9.9203663,Central__South_America
Jugger en la Sabana,https://www.facebook.com/JuggerSabana/,-84.1063499,9.9346122,Central__South_America
Comunidad Speculum,https://www.facebook.com/SpeculumAlae/,-74.0746308,4.5951189,Central__South_America
Actaeonis Grex,https://www.facebook.com/ActaeonisGrex,-74.0798664,4.6195017,Central__South_America
Enelle,https://www.facebook.com/enellejugger,-74.0900803,4.5969583,Central__South_America
Lycaon Pictus,https://www.facebook.com/LycaonPictusJuggerTeam/,-74.0790939,4.6335747,Central__South_America
Oh So Pretentious,https://www.facebook.com/OhSoPretentious/,-74.0897369,4.6342592,Central__South_America
Dragon Fly,https://www.facebook.com/dragonflyjugger/,-74.0708542,4.6277573,Central__South_America
Danse Macabre,https://www.facebook.com/lacomarcajugger/,-74.0928268,4.6147535,Central__South_America
Gae Bulg,https://www.facebook.com/G%C3%A1e-bulg-Jugger-Team-1653297711569782/?fref=ts,-74.0976334,4.6092781,Central__South_America
Quimeras,https://www.facebook.com/CerverusJugger/,-74.1044998,4.6274151,Central__South_America
Liga Brasileira De Jugger,https://www.facebook.com/groups/ligabrasileiradejugger/,-46.6349029,-23.5503758,Central__South_America
Jugger La Plata,https://www.facebook.com/groups/juggerlaplata/,-57.9763984,-34.9215488,Central__South_America
Jugger Santa Fe,https://www.facebook.com/groups/jugarla/,-60.7027244,-31.6314601,Central__South_America
Jugger MDQ,https://www.facebook.com/JuggerMDQ/,-57.581749,-37.9811453,Central__South_America
Berserker Jugger Team,No Page As of Yet,-57.9171753,-34.921971,Central__South_America
Ocho Herraduras Jugger,https://www.facebook.com/Ocho-Herraduras-Jugger-1377836122537845/,-57.9638648,-34.8994354,Central__South_America
White Lotus,No Page as of Yet,-58.3690739,-34.6261454,Central__South_America
Triskel Jugger Team,https://www.facebook.com/Triskel-Jugger-Team-662010537262044/,-57.948761,-34.9523676,Central__South_America
Ignis Fatuus,No Page as of Yet,-58.3701038,-34.6277698,Central__South_America
Jugger Noa,https://www.facebook.com/ligajuggernoa/,-65.2996445,-24.1874738,Central__South_America
Jugger Norte,https://m.facebook.com/profile.php?id=1513225445640713,-58.76544,-34.5151145,Central__South_America
Jugger Trelew,https://m.facebook.com/groups/1652521345021494?_rdr,-65.3077126,-43.249454,Central__South_America
Jugger Noroeste,https://www.facebook.com/Jugger-Noroeste-1623959827820929/,-58.6752319,-34.4635418,Central__South_America
Jugger C.A.B.A.,https://m.facebook.com/juggersaavedra/,-58.381691,-34.6043891,Central__South_America
Jugger Saavedra,jonyx_sp@hotmail.com,-58.3940506,-34.6039652,Central__South_America
Liga Uruguaya de Jugger,https://www.facebook.com/ligauruguayadejugger/,-56.1586736,-34.8935771,Central__South_America
Caballeros de la Llanura,www.facebook.com/Caballeros-de-la-Llanura-Jugger-team-182462185123264/,-56.205181,-34.86044,Central__South_America
Mandarina Ninja,https://www.facebook.com/mandarinaninja/,-56.1382638,-34.9107838,Central__South_America
Cerverus,https://www.facebook.com/CerverusJugger/,-74.0784073,4.6684784,Central__South_America
Liga X Jugger,https://www.facebook.com/LigaXjugger/,-74.0701675,4.6441829,Central__South_America
Team Raijin,https://www.facebook.com/Jugger-Team-Raijin-908251995989805,-74.0897369,4.647947,Central__South_America
Jugger Wien,https://www.facebook.com/juggervienna,16.3735343,48.2083162,Other
Second Cubs Jugger Club,https://www.facebook.com/secondcubsjuggerclub/,24.5636272,46.5467898,Other
Klausen Jokers,No Contact Info Yet,23.6319351,46.7744361,Other
Mud Flagons,https://www.facebook.com/groups/433127063457986/,3.7181854,51.0519702,Other
Jugger Nederland,https://www.facebook.com/groups/211091742340215,4.8932076,52.3701494,Other
AmstelJugger,https://www.facebook.com/pages/Amsteljugger/201009703300360,4.9082708,52.3392461,Other
Jugger Latvia,https://www.facebook.com/juggerlv/,24.1550303,56.9577995,Other
Jugger Lithuania,https://www.facebook.com/juggerlt/,25.279541,54.6865342,Other
Jugger Radomsko,https://www.facebook.com/juggeradomsko,19.4437408,51.0644859,Other
Dzieci Fritza,No Contact Info,17.4360323,51.6963819,Other
Akademia Juggera,https://www.facebook.com/Akademia-juggera-1662384364013702/,19.9443054,50.0589021,Other
Polish Jugger League,https://www.facebook.com/polishjuggerleague/,17.035675,51.106971,Other
Czech Jugger - Krutá hra,Fullkontaktní jugger v postapokalyptickém stylu<br><br>Tréninky:<br>v nepravidelných intervalech v neděli odpoledne v Letenských sadech<br><br>Kontakt:<br>https://www.facebook.com/krutahra<br><br>================================<br><br>Fullcontact jugger postapocalyptic style<br><br>Trainings:<br>irregularly but on Sunday afternoons in Letenské sady (where the pin is)<br><br>Contact:<br>https://www.facebook.com/krutahra,14.4181287,50.0971011,Other
jugger.cz,jugger v České republice<br><br>Kontakt:<br>http://jugger.cz<br>www.facebook.com/jugger.cz<br><br>==================================<br><br>jugger in the Czech republic<br><br>Contact:<br>http://jugger.cz<br>www.facebook.com/jugger.cz,14.4245123,50.0835545,Other
Jugger Znojmo,Tréninky:<br>nepravidelně<br><br>Kontakt:<br>https://www.facebook.com/JuggerZnojmo<br><br>==================================<br><br>Trainings:<br>irregularly<br><br>Contact:<br>https://www.facebook.com/JuggerZnojmo,16.0558319,48.8547763,Other
Sadaři Praha,Tréninky:<br>každé pondělí od 18:00 do 20:00 na rovince v Riegrových sadech<br><br>Kontakt:<br>https://www.facebook.com/SadariPraha/<br><br>=================================<br><br>Trainings:<br>every Monday from 6pm to 8pm in Riegrovy sady (where the pin is)<br><br>Contact:<br>https://www.facebook.com/SadariPraha/,14.4437385,50.0797335,Other
Jugger Israel,https://www.facebook.com/groups/1662627454012833/,35.0221825,32.7773163,Other
Grazer Panthers,https://www.facebook.com/groups/732500243621178/,15.4395039999999,47.070714,Other
Sighting of Jugger at Noxbo,Sighting of Jugger in Finland - https://www.youtube.com/watch?v=--l2w0Koi2M&feature=youtu.be&t=23m17s,24.5977235,61.1999348,Other
Jugger at Kiev Fencing Club,http://forum.jugger.org/viewtopic.php?f=29&t=2112,30.5236244,50.4499352,Other
